ID,Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket
4025,21,Pallet Town,0.0,Casino Worker,Normal,26,0,TimerBall,23,4,0,Unpredictable,9,0,15140,1,
4026,66,Viridian City,1.0,Daycare Worker,Rock,66,0,TimerBall,24,1,0,Defensive,9,0,3328,1,
4027,54,Cerulean City,1.0,Daycare Worker,Electric,19,0,MasterBall,35,1,0,Defensive,6,0,66603,1,
4028,25,Pewter City,0.0,Gym Leader Assistant,Water,55,0,PokéBall,75,5,0,Defensive,6,0,59492,1,
4029,44,Celadon City,1.0,Breeder,Grass,56,0,MasterBall,73,0,0,Aggressive,8,0,15234,1,
4030,56,Vermilion City,1.0,Fisherman,Ground,87,0,DuskBall,78,2,0,Aggressive,22,0,1825,1,
4031,28,Viridian City,1.0,Scientist,Ghost,43,0,PokéBall,39,4,0,Aggressive,13,0,142169,0,
4032,47,Vermilion City,0.0,Black Market Dealer,Rock,30,0,DuskBall,44,4,0,Aggressive,6,0,54415,1,
4033,12,Saffron City,1.0,Casino Worker,Rock,83,0,HealBall,25,4,0,Unpredictable,25,0,1166,1,
4034,52,Fuchsia City,2.0,Researcher,Fairy,71,0,GreatBall,62,2,0,Unpredictable,10,0,48000,1,
4035,60,Saffron City,0.0,Researcher,Water,78,0,TimerBall,71,1,0,Unpredictable,15,0,50542,1,
4036,40,Cerulean City,0.0,Daycare Worker,Steel,85,0,PokéBall,57,2,0,Defensive,0,0,77581,1,
4037,70,Pewter City,0.0,Champion,Bug,8,0,NetBall,20,0,0,Defensive,21,0,19497,1,
4038,49,Saffron City,1.0,Nurse,Dragon,18,0,TimerBall,26,0,0,Aggressive,0,0,18693,1,
4039,30,Cerulean City,0.0,Casino Worker,Ground,92,0,LuxuryBall,79,4,0,Aggressive,12,0,68522,1,
4040,66,Pewter City,0.0,Breeder,Ice,33,0,LuxuryBall,41,4,0,Unpredictable,0,0,27805,1,
4041,46,Viridian City,1.0,Nurse,Steel,38,0,UltraBall,30,6,0,Aggressive,12,0,31772,1,
4042,70,Viridian City,1.0,Breeder,Electric,71,0,TimerBall,33,0,0,Unpredictable,15,0,61112,1,
4043,22,Viridian City,1.0,Rocket Grunt,Poison,37,0,TimerBall,49,4,0,Aggressive,8,0,261,1,
4044,43,Cinnabar Island,1.0,PokéMart Seller,Psychic,85,0,LuxuryBall,59,2,0,Aggressive,24,0,98095,1,
4045,28,Fuchsia City,2.0,Casino Worker,Rock,98,0,TimerBall,85,5,0,Aggressive,10,0,45245,1,
4046,10,Pallet Town,0.0,Casino Worker,Flying,22,0,NetBall,20,0,0,Defensive,10,0,50881,1,
4047,24,Cerulean City,1.0,Casino Worker,Bug,68,0,PokéBall,48,1,0,Unpredictable,8,0,46769,1,
4048,15,Pallet Town,0.0,Biker,Poison,96,0,MasterBall,27,2,0,Defensive,9,0,16952,1,
4049,59,Pallet Town,0.0,Scientist,Dark,65,0,MasterBall,29,4,0,Aggressive,6,0,88912,1,
4050,50,Pewter City,1.0,Casino Worker,Poison,23,0,NetBall,25,1,0,Unpredictable,15,0,91935,1,
4051,34,Fuchsia City,1.0,Champion,Psychic,65,0,LuxuryBall,24,6,0,Unpredictable,17,0,43649,1,
4052,26,Saffron City,1.0,Underground Battler,Fire,34,0,HealBall,62,6,0,Unpredictable,17,0,73896,1,
4053,53,Vermilion City,0.0,Underground Battler,Water,43,0,NetBall,80,0,0,Unpredictable,20,0,37719,1,
4054,20,Saffron City,1.0,Biker,Water,83,0,PokéBall,22,1,0,Defensive,21,0,5854,1,
4055,50,Celadon City,1.0,Gym Leader Assistant,Rock,67,0,MasterBall,61,0,0,Defensive,2,0,7676,1,
4056,12,Viridian City,1.0,Police Officer,Poison,78,0,TimerBall,29,0,0,Defensive,24,0,46118,1,
4057,29,Vermilion City,1.0,Researcher,Dark,75,1,DarkBall,53,0,1,Aggressive,6,0,167251,0,
4058,54,Vermilion City,0.0,Rocket Grunt,Electric,47,0,DuskBall,22,2,0,Defensive,17,0,76049,1,
4059,50,Celadon City,1.0,Elite Trainer,Electric,36,0,TimerBall,22,5,0,Unpredictable,22,0,32242,1,
4060,41,Cerulean City,2.0,Black Market Dealer,Fairy,9,0,UltraBall,26,5,0,Unpredictable,3,0,8399,1,
4061,38,Vermilion City,1.0,Nurse,Fighting,99,0,UltraBall,59,3,0,Unpredictable,10,0,10155,1,
4062,31,Viridian City,1.0,Fisherman,Ground,62,0,LuxuryBall,66,6,0,Defensive,11,0,99936,1,
4063,43,Viridian City,1.0,Casino Worker,Rock,64,0,TimerBall,26,0,0,Aggressive,14,0,20318,1,
4064,47,Fuchsia City,0.0,Black Market Dealer,Bug,85,1,TimerBall,60,3,0,Aggressive,13,0,328944,0,
4065,55,Pewter City,0.0,Champion,Flying,31,0,PokéBall,76,0,0,Aggressive,12,0,18320,1,
4066,50,Viridian City,1.0,Daycare Worker,Poison,9,0,NetBall,76,1,0,Aggressive,20,0,14808,1,
4067,41,Pallet Town,2.0,PokéMart Seller,Electric,59,1,HealBall,77,2,0,Unpredictable,26,1,235244,0,
4068,37,Saffron City,1.0,PokéMart Seller,Dragon,77,0,HealBall,43,0,0,Aggressive,0,0,30559,1,
4069,19,Celadon City,1.0,Rocket Grunt,Ground,93,0,MasterBall,42,3,0,Aggressive,22,0,66064,1,
4070,32,Cerulean City,1.0,Casino Worker,Fire,50,0,UltraBall,64,1,0,Aggressive,25,0,5009,1,
4071,65,Saffron City,1.0,Breeder,Ice,90,0,MasterBall,84,0,0,Aggressive,4,0,28629,1,
4072,10,Cinnabar Island,1.0,Fisherman,Ghost,17,0,GreatBall,41,6,0,Unpredictable,6,0,72428,1,
4073,21,Cerulean City,1.0,Scientist,Fighting,22,0,LuxuryBall,58,0,0,Aggressive,24,0,62261,1,
4074,15,Cerulean City,2.0,Gym Leader Assistant,Fairy,13,0,DuskBall,28,0,0,Unpredictable,13,0,76419,1,
4075,69,Cerulean City,0.0,Elite Trainer,Normal,39,0,LuxuryBall,38,2,0,Unpredictable,21,0,63433,1,
4076,37,Vermilion City,2.0,PokéMart Seller,Ground,31,0,MasterBall,64,0,0,Aggressive,22,0,36453,1,
4077,34,Fuchsia City,2.0,Breeder,Ice,98,0,GreatBall,68,3,0,Aggressive,9,0,66477,1,
4078,19,Fuchsia City,1.0,Biker,Ice,5,0,DuskBall,49,2,0,Unpredictable,5,0,53104,1,
4079,22,Cerulean City,1.0,Biker,Ground,94,0,GreatBall,35,6,0,Defensive,15,0,98002,1,
4080,23,Pewter City,1.0,Fisherman,Ghost,54,0,PokéBall,32,3,0,Aggressive,3,0,88129,1,
4081,23,Celadon City,2.0,Police Officer,Fire,44,0,LuxuryBall,33,3,0,Defensive,22,0,54268,1,
4082,26,Vermilion City,0.0,Rocket Grunt,Flying,43,0,HealBall,27,1,0,Aggressive,18,0,38207,1,
4083,58,Celadon City,0.0,Elite Trainer,Psychic,14,0,TimerBall,66,1,0,Unpredictable,15,0,99072,1,
4084,54,Pewter City,0.0,Champion,Bug,20,0,NetBall,58,1,0,Unpredictable,7,0,73898,1,
4085,10,Saffron City,0.0,Breeder,Grass,76,0,GreatBall,65,3,0,Aggressive,14,0,44261,1,
4086,52,Cerulean City,1.0,Nurse,Psychic,33,0,TimerBall,26,0,0,Defensive,18,0,28439,1,
4087,12,Vermilion City,0.0,Biker,Fighting,51,0,LuxuryBall,55,5,0,Aggressive,17,0,96650,1,
4088,40,Pallet Town,1.0,Daycare Worker,Poison,95,0,GreatBall,59,3,0,Unpredictable,5,0,58256,1,
4089,25,Cerulean City,1.0,Casino Worker,Bug,49,0,LuxuryBall,75,3,0,Unpredictable,22,0,55508,0,
4090,33,Pallet Town,2.0,Black Market Dealer,Grass,74,0,TimerBall,32,2,0,Unpredictable,17,0,21870,1,
4091,68,Viridian City,0.0,Elite Trainer,Grass,36,0,GreatBall,73,0,0,Unpredictable,2,0,84076,1,
4092,19,Fuchsia City,1.0,Biker,Grass,45,0,LuxuryBall,75,2,0,Defensive,6,0,27052,1,
4093,47,Saffron City,1.0,Researcher,Flying,5,0,HealBall,42,3,0,Unpredictable,16,0,44836,1,
4094,46,Lavender Town,2.0,Black Market Dealer,Bug,41,0,HealBall,63,0,0,Unpredictable,20,0,95923,1,
4095,29,Viridian City,1.0,Underground Battler,Flying,74,0,UltraBall,24,3,0,Unpredictable,3,0,20000,1,
4096,33,Viridian City,0.0,Nurse,Bug,20,0,TimerBall,22,1,0,Defensive,2,0,65158,1,
4097,28,Vermilion City,0.0,Police Officer,Fairy,6,0,UltraBall,70,2,0,Unpredictable,7,0,57672,1,
4098,11,Cerulean City,1.0,Underground Battler,Flying,58,0,TimerBall,53,6,0,Aggressive,25,0,91370,1,
4099,49,Vermilion City,0.0,Champion,Fighting,34,0,PokéBall,78,0,0,Aggressive,13,0,69465,1,
4100,52,Celadon City,1.0,Biker,Flying,23,0,GreatBall,39,2,0,Defensive,24,0,7473,1,
4101,33,Lavender Town,1.0,PokéMart Seller,Normal,27,0,PokéBall,83,0,0,Defensive,25,1,311712,0,
4102,22,Pallet Town,0.0,Scientist,Flying,35,0,MasterBall,67,2,0,Defensive,8,0,29037,1,
4103,28,Cerulean City,1.0,Police Officer,Normal,15,0,MasterBall,78,2,0,Aggressive,24,0,27958,1,
4104,60,Viridian City,1.0,PokéMart Seller,Normal,71,0,MasterBall,72,5,0,Aggressive,12,0,99944,1,
4105,17,Vermilion City,2.0,Casino Worker,Fire,39,0,PokéBall,41,0,0,Unpredictable,22,0,99441,1,
4106,20,Vermilion City,1.0,Police Officer,Dark,8,0,NetBall,77,0,0,Unpredictable,13,0,54872,1,
4107,34,Pewter City,0.0,Police Officer,Rock,58,0,MasterBall,78,0,0,Defensive,14,0,37810,1,
4108,36,Vermilion City,1.0,Fisherman,Flying,14,0,TimerBall,26,2,0,Aggressive,25,0,8817,1,
4109,56,Lavender Town,1.0,Black Market Dealer,Rock,92,0,PokéBall,31,1,0,Unpredictable,7,0,34616,1,
4110,15,Vermilion City,1.0,Fisherman,Psychic,94,0,MasterBall,37,3,0,Unpredictable,6,0,95585,1,
4111,13,Cinnabar Island,0.0,Black Market Dealer,Poison,86,0,PokéBall,80,1,0,Aggressive,12,0,78519,1,
4112,33,Vermilion City,2.0,Breeder,Fire,77,1,DuskBall,34,8,0,Defensive,29,0,356378,1,
4113,63,Celadon City,1.0,Daycare Worker,Electric,93,0,HealBall,29,1,0,Unpredictable,20,0,57240,1,
4114,34,Saffron City,1.0,Biker,Flying,47,0,GreatBall,24,3,0,Defensive,16,0,19452,1,
4115,51,Cinnabar Island,0.0,Biker,Fighting,98,0,GreatBall,30,3,0,Defensive,0,0,9433,1,
4116,52,Lavender Town,2.0,Gym Leader Assistant,Grass,67,0,HealBall,67,2,0,Defensive,22,0,50128,1,
4117,20,Viridian City,2.0,Nurse,Electric,83,0,DuskBall,51,0,0,Unpredictable,11,0,40771,1,
4118,30,Vermilion City,2.0,Fisherman,Rock,9,0,PokéBall,79,0,0,Aggressive,19,0,59721,1,
4119,39,Celadon City,1.0,Black Market Dealer,Steel,92,0,MasterBall,77,1,0,Aggressive,17,0,83058,1,
4120,44,Cerulean City,0.0,Scientist,Grass,45,0,DuskBall,45,0,0,Unpredictable,15,0,43830,1,
4121,69,Fuchsia City,2.0,Police Officer,Fire,41,0,PokéBall,44,2,0,Unpredictable,19,0,20875,1,
4122,26,Vermilion City,2.0,Black Market Dealer,Steel,46,0,DuskBall,84,4,0,Aggressive,25,0,29384,1,
4123,20,Vermilion City,0.0,Rocket Grunt,Poison,43,0,DarkBall,47,6,0,Defensive,10,0,38475,1,
4124,56,Cinnabar Island,2.0,Elite Trainer,Grass,97,0,GreatBall,46,5,0,Aggressive,19,0,73405,1,
4125,68,Cinnabar Island,0.0,Biker,Electric,45,0,UltraBall,38,3,0,Unpredictable,19,0,15543,1,
4126,33,Saffron City,0.0,Casino Worker,Normal,97,0,UltraBall,54,5,0,Unpredictable,14,0,17244,1,
4127,54,Fuchsia City,0.0,Researcher,Electric,75,0,PokéBall,59,1,0,Unpredictable,14,0,21696,1,
4128,55,Celadon City,1.0,PokéMart Seller,Ghost,35,0,PokéBall,43,4,0,Defensive,23,0,74170,1,
4129,13,Saffron City,0.0,Nurse,Steel,52,0,UltraBall,38,3,0,Aggressive,4,0,88097,1,
4130,39,Viridian City,1.0,Elite Trainer,Ghost,41,0,DuskBall,36,3,0,Defensive,21,0,80475,1,
4131,62,Cerulean City,1.0,Nurse,Psychic,74,0,PokéBall,60,2,0,Aggressive,21,0,66135,1,
4132,36,Lavender Town,0.0,Nurse,Ghost,80,0,PokéBall,84,2,0,Unpredictable,18,0,31954,1,
4133,24,Saffron City,1.0,Fisherman,Fairy,38,0,DuskBall,57,1,0,Aggressive,8,0,36103,1,
4134,33,Lavender Town,0.0,Biker,Fire,72,0,GreatBall,38,4,0,Unpredictable,5,0,20346,1,
4135,43,Pallet Town,0.0,Casino Worker,Normal,10,0,GreatBall,79,5,0,Defensive,23,0,2724,1,
4136,34,Cerulean City,1.0,Elite Trainer,Dragon,19,0,NetBall,73,0,0,Unpredictable,18,0,32962,1,
4137,70,Pewter City,1.0,Underground Battler,Fire,96,0,HealBall,56,2,0,Defensive,7,0,16085,1,
4138,18,Cerulean City,0.0,Breeder,Psychic,30,0,DarkBall,54,4,0,Defensive,4,0,78354,1,
4139,66,Celadon City,1.0,Underground Battler,Normal,28,0,LuxuryBall,70,0,0,Defensive,30,1,288525,0,
4140,46,Lavender Town,2.0,Breeder,Ground,22,0,PokéBall,80,3,0,Defensive,4,0,94836,1,
4141,18,Cerulean City,1.0,Underground Battler,Psychic,76,0,NetBall,85,2,0,Aggressive,0,0,35930,1,
4142,10,Viridian City,1.0,Casino Worker,Electric,84,0,DarkBall,67,0,0,Defensive,19,0,49739,1,
4143,39,Vermilion City,1.0,PokéMart Seller,Psychic,15,0,UltraBall,32,0,0,Defensive,9,0,14981,1,
4144,52,Lavender Town,1.0,Fisherman,Dark,90,0,HealBall,64,1,0,Unpredictable,4,0,33540,1,
4145,17,Pallet Town,2.0,Gym Leader Assistant,Fire,27,0,MasterBall,68,3,0,Defensive,25,0,19900,1,
4146,30,Pallet Town,0.0,Casino Worker,Fire,60,0,MasterBall,72,0,0,Unpredictable,15,0,96153,1,
4147,22,Cinnabar Island,1.0,Elite Trainer,Ice,24,0,TimerBall,42,2,0,Aggressive,7,0,97423,1,
4148,32,Cinnabar Island,1.0,Rocket Grunt,Ground,60,0,HealBall,65,0,0,Unpredictable,24,0,38759,1,
4149,59,Fuchsia City,0.0,Black Market Dealer,Ground,70,0,MasterBall,47,0,0,Defensive,20,0,92272,1,
4150,54,Pallet Town,0.0,Daycare Worker,Poison,25,0,DuskBall,44,1,0,Defensive,2,0,33831,1,
4151,25,Vermilion City,0.0,Rocket Grunt,Poison,19,0,PokéBall,56,3,0,Aggressive,7,0,53899,1,
4152,55,Cerulean City,0.0,Underground Battler,Electric,83,0,UltraBall,58,0,0,Defensive,1,0,17411,1,
4153,15,Pewter City,0.0,Researcher,Rock,83,0,MasterBall,29,3,0,Unpredictable,5,0,43949,1,
4154,36,Celadon City,2.0,Police Officer,Grass,17,0,TimerBall,72,3,0,Aggressive,5,0,51195,1,
4155,53,Cinnabar Island,1.0,Daycare Worker,Fire,94,0,DuskBall,33,7,0,Unpredictable,20,0,48943,1,
4156,46,Viridian City,0.0,Gym Leader Assistant,Ice,95,0,NetBall,30,0,0,Unpredictable,25,0,59448,1,
4157,68,Cinnabar Island,0.0,Elite Trainer,Ground,43,0,DuskBall,56,1,0,Aggressive,10,0,80673,1,
4158,37,Vermilion City,1.0,Biker,Water,18,0,MasterBall,59,1,0,Aggressive,8,0,98733,1,
4159,56,Celadon City,0.0,Police Officer,Electric,16,0,NetBall,45,1,0,Defensive,7,0,82619,1,
4160,51,Saffron City,1.0,Daycare Worker,Electric,67,0,TimerBall,20,0,0,Defensive,5,0,35643,1,
4161,10,Pewter City,0.0,Fisherman,Normal,89,0,TimerBall,34,4,0,Aggressive,14,0,32281,1,
4162,67,Fuchsia City,1.0,Fisherman,Water,70,0,PokéBall,36,4,0,Aggressive,1,0,79365,1,
4163,28,Cerulean City,2.0,Elite Trainer,Fire,18,0,NetBall,43,0,0,Defensive,2,0,21741,1,
4164,11,Saffron City,0.0,Breeder,Dark,30,0,GreatBall,35,2,0,Aggressive,12,0,25763,1,
4165,23,Vermilion City,2.0,Biker,Steel,52,0,DuskBall,27,5,0,Aggressive,16,0,31524,1,
4166,61,Lavender Town,1.0,Rocket Grunt,Dragon,35,0,GreatBall,23,5,0,Unpredictable,9,0,94428,1,
4167,43,Saffron City,1.0,Underground Battler,Ground,69,0,DuskBall,60,6,0,Aggressive,1,0,76082,1,
4168,42,Celadon City,0.0,Elite Trainer,Fighting,53,0,NetBall,40,0,0,Aggressive,24,0,30042,1,
4169,49,Lavender Town,1.0,Elite Trainer,Water,22,0,DarkBall,34,0,0,Defensive,1,0,50629,1,
4170,20,Lavender Town,1.0,Researcher,Dark,24,0,HealBall,56,2,0,Unpredictable,0,0,87561,1,
4171,36,Vermilion City,0.0,Police Officer,Dark,63,0,DuskBall,59,2,0,Aggressive,3,0,22257,1,
4172,47,Cinnabar Island,0.0,Biker,Bug,65,0,UltraBall,48,3,0,Aggressive,6,0,76773,1,
4173,32,Lavender Town,0.0,Police Officer,Normal,89,0,MasterBall,79,1,0,Unpredictable,0,0,63976,1,
4174,18,Pallet Town,1.0,Champion,Ghost,89,0,TimerBall,27,3,0,Aggressive,4,0,19605,1,
4175,28,Vermilion City,0.0,Underground Battler,Poison,17,1,GreatBall,61,4,0,Defensive,22,1,330662,1,
4176,22,Cerulean City,1.0,Police Officer,Poison,90,0,DuskBall,29,4,0,Unpredictable,2,0,36000,1,
4177,48,Saffron City,1.0,PokéMart Seller,Dragon,61,0,DarkBall,76,0,0,Unpredictable,14,0,7895,1,
4178,38,Pewter City,1.0,Rocket Grunt,Bug,26,0,MasterBall,61,6,0,Unpredictable,6,0,39465,1,
4179,61,Lavender Town,0.0,Elite Trainer,Psychic,62,0,DarkBall,58,3,0,Unpredictable,20,0,13613,0,
4180,51,Viridian City,1.0,Researcher,Rock,42,1,MasterBall,49,0,1,Unpredictable,22,1,190768,0,
4181,39,Cinnabar Island,0.0,Researcher,Grass,93,0,HealBall,44,0,0,Unpredictable,17,0,84007,1,
4182,44,Lavender Town,2.0,Rocket Grunt,Steel,22,0,GreatBall,46,3,0,Unpredictable,14,0,99877,1,
4183,53,Lavender Town,1.0,Black Market Dealer,Ground,45,0,GreatBall,67,4,0,Aggressive,25,0,93077,1,
4184,54,Lavender Town,2.0,Nurse,Dark,57,0,PokéBall,25,2,0,Aggressive,11,0,85603,1,
4185,38,Pewter City,1.0,PokéMart Seller,Normal,40,0,TimerBall,77,3,0,Defensive,18,0,24063,1,
4186,68,Cerulean City,1.0,Rocket Grunt,Normal,87,0,NetBall,38,2,0,Defensive,2,0,59378,1,
4187,22,Fuchsia City,1.0,Champion,Fairy,51,0,DuskBall,67,2,0,Defensive,10,0,336,1,
4188,67,Pewter City,0.0,Casino Worker,Ice,29,0,MasterBall,80,2,0,Defensive,18,1,137348,0,
4189,43,Vermilion City,1.0,Nurse,Psychic,28,0,TimerBall,40,3,0,Defensive,3,0,12813,1,
4190,41,Vermilion City,0.0,Researcher,Bug,7,0,LuxuryBall,34,1,0,Defensive,21,0,54991,1,
4191,50,Viridian City,1.0,Police Officer,Ground,54,0,MasterBall,40,0,0,Defensive,13,0,36742,1,
4192,23,Vermilion City,0.0,Researcher,Fire,38,0,NetBall,71,3,0,Unpredictable,10,0,66292,1,
4193,35,Cinnabar Island,1.0,Fisherman,Ghost,47,0,HealBall,85,0,0,Aggressive,0,0,79946,1,
4194,49,Cinnabar Island,2.0,Champion,Steel,77,0,DarkBall,73,1,0,Defensive,16,0,4505,1,
4195,11,Vermilion City,1.0,Nurse,Bug,16,0,UltraBall,76,0,0,Defensive,6,0,64760,1,
4196,60,Saffron City,1.0,Daycare Worker,Ice,85,0,MasterBall,66,1,0,Aggressive,19,0,74849,1,
4197,29,Saffron City,1.0,Nurse,Ice,22,0,HealBall,75,0,0,Defensive,3,0,79800,1,
4198,13,Lavender Town,1.0,Nurse,Dark,5,0,PokéBall,85,7,0,Unpredictable,4,0,83736,1,
4199,26,Pewter City,1.0,Elite Trainer,Ghost,81,0,HealBall,43,1,0,Unpredictable,17,0,31212,1,
4200,25,Pewter City,2.0,Gym Leader Assistant,Dark,10,0,HealBall,84,3,0,Defensive,25,1,360303,0,
4201,17,Vermilion City,1.0,Scientist,Fire,75,0,GreatBall,41,5,0,Defensive,24,0,20074,1,
4202,45,Fuchsia City,1.0,Rocket Grunt,Poison,66,0,TimerBall,48,5,0,Aggressive,0,0,88601,1,
4203,46,Celadon City,1.0,Casino Worker,Bug,32,0,GreatBall,65,3,0,Defensive,17,0,99393,1,
4204,56,Cerulean City,2.0,PokéMart Seller,Fire,30,1,MasterBall,54,1,0,Defensive,20,0,339474,0,
4205,48,Vermilion City,1.0,PokéMart Seller,Poison,38,0,UltraBall,49,1,0,Defensive,17,0,23621,1,
4206,40,Pallet Town,0.0,Casino Worker,Bug,19,0,PokéBall,39,7,0,Unpredictable,19,0,22979,1,
4207,54,Viridian City,0.0,Champion,Bug,58,0,UltraBall,78,1,0,Unpredictable,23,0,21828,1,
4208,13,Fuchsia City,1.0,Rocket Grunt,Ground,17,0,NetBall,43,0,0,Unpredictable,25,0,40188,1,
4209,69,Viridian City,2.0,Police Officer,Rock,15,0,UltraBall,75,0,0,Defensive,22,0,65297,1,
4210,40,Viridian City,1.0,Researcher,Ground,52,0,MasterBall,59,0,0,Aggressive,19,0,80504,1,
4211,28,Viridian City,0.0,Daycare Worker,Fire,41,0,NetBall,84,0,0,Aggressive,16,0,89401,1,
4212,33,Pewter City,1.0,PokéMart Seller,Steel,62,0,GreatBall,81,3,0,Defensive,1,0,86845,1,
4213,12,Cinnabar Island,0.0,Daycare Worker,Electric,42,0,MasterBall,46,0,0,Defensive,8,0,16010,1,
4214,26,Pallet Town,1.0,Breeder,Fighting,93,0,NetBall,35,0,0,Defensive,6,0,15154,1,
4215,34,Lavender Town,0.0,Black Market Dealer,Flying,74,0,MasterBall,62,0,0,Defensive,16,1,34749,0,
4216,31,Cinnabar Island,1.0,Black Market Dealer,Dark,56,1,UltraBall,71,2,0,Aggressive,30,0,33681,1,
4217,33,Celadon City,2.0,Daycare Worker,Ghost,21,0,GreatBall,23,3,0,Unpredictable,25,0,93367,1,
4218,23,Vermilion City,1.0,Gym Leader Assistant,Fire,65,0,HealBall,41,4,0,Defensive,18,0,89280,1,
4219,20,Vermilion City,0.0,Champion,Electric,67,0,PokéBall,32,3,0,Unpredictable,23,0,98337,1,
4220,17,Cerulean City,0.0,Rocket Grunt,Rock,44,0,DarkBall,61,4,0,Defensive,9,0,89801,1,
4221,54,Saffron City,0.0,PokéMart Seller,Ghost,47,0,DuskBall,35,3,0,Unpredictable,9,0,71265,1,
4222,65,Cerulean City,1.0,Champion,Dark,75,0,MasterBall,67,4,0,Unpredictable,14,0,30037,1,
4223,67,Pallet Town,1.0,Nurse,Rock,59,0,DuskBall,67,2,0,Unpredictable,6,0,85214,1,
4224,43,Cinnabar Island,0.0,Black Market Dealer,Fire,9,0,DuskBall,45,1,0,Aggressive,21,0,47351,1,
4225,35,Pallet Town,0.0,Police Officer,Psychic,15,0,GreatBall,42,3,0,Defensive,20,0,2670,1,
4226,38,Fuchsia City,1.0,PokéMart Seller,Dragon,40,0,MasterBall,67,4,0,Unpredictable,3,0,39541,1,
4227,39,Fuchsia City,2.0,Police Officer,Fairy,8,0,PokéBall,55,5,0,Unpredictable,22,0,32108,1,
4228,46,Fuchsia City,1.0,Daycare Worker,Fire,46,0,DuskBall,20,0,0,Aggressive,19,0,40077,1,
4229,62,Vermilion City,1.0,Champion,Grass,28,0,TimerBall,66,1,0,Aggressive,22,0,10100,1,
4230,59,Pallet Town,1.0,Researcher,Grass,64,0,DuskBall,30,1,0,Aggressive,8,0,98181,1,
4231,44,Pallet Town,0.0,Casino Worker,Fire,78,0,LuxuryBall,71,5,0,Unpredictable,11,0,92735,1,
4232,14,Cinnabar Island,2.0,Police Officer,Bug,99,0,TimerBall,39,3,0,Unpredictable,23,0,20252,1,
